ID,Name,Choice1,Choice2,Story,Navigation,Win,Lose,Items,Stranger,Weather
18,Bow and Arrows,19,36,"You decided to fight back against Michaus, and you took the bow and arrows. You got free of all the slaves along with the help of Liu Ren. But he Found your father who was coming after you and made you to unlock the door at the gun point.",Press 1. Unlock the door or press 2 to get killed yourself and your father,0,0,0,0,0
19,Inside the tomb,39,20,You unlocked the door for the life of your father and he made you to go into the tomb at the first. There are the skeletons of the people in the tomb and the destruction all over the area.,Press 1. Oppose to go down first or Press 2 Follow Michaus instructions,0,0,0,0,0
20,Door of Color blocks,38,21,"You were walking the corridor, there are the sculptures of the queen on the wall along the shelves below them containing some colored blocks. Suddenly, the floor started to fall down, and the question engraved on the stone  ""The color of Life"" blocked the way from both sides. You need to put the colored blocks from the shelves and put it into the keyhole of the wall stone before the whole floor fell down. WHAT IS THE COLOR OF LIFE?",Press 1. Red or Press 2. Green,0,0,0,0,1
21,Opening the coffin,22,37,"Fortunately, you put the correct colored block into the keyhole and get on the way next to the coffin of the queen. The men of Michaus opened the coffin and tried to get the skeleton of the queen outside the coffin. They touched it, and their hands started getting rotten, and then the whole body. Meanwhile, the fight comes into action between you, your father, and Michaus and his men. In between, Michaus took the bone of the queen's finger into the sealed bag carefully and ran from there.",Press 1. Chase Michaus or Press 2 to be there for your father and get died there along with him,0,0,0,0,0
22,Chasing Michaus,,,"You ran after Michaus, and left your father there because he also got infected. You got into a really bad fight with Michaus but successfully, you put he same bone into his mouth with your safety and run from there due to collapsing of the tomb has started. Finally you made it to the surface, and save the world from the curse of Death.",,1,0,0,0,0
23,Life Boat,,,You take the lifeboat but the storm was really furious and your lifeboat got upside down and you drowned to death.,,0,1,0,0,1
24,Another Ship,,,"You chose another ship, Captain killed you and take you money and backpack with all the information.",,0,1,0,0,0
25,stealing backpack and diary,,,He shot you down in front of all the slaves.,,0,1,0,0,0
26,Tried to run,,,Get yourself killed,,0,1,0,0,1
27,Running towards shore,,,"At the shore, You got easily noticed and get killed ",,0,1,0,0,0
28,Tried to cross the bridge,,,You hopped on the tree trunk bridge and fell into the river due to imbalance.,,0,1,0,0,0
29,Going down with river,,,You got down from the waterfall and get yourself killed by hitting your head on the stone.,,0,1,0,0,1
30,Taking the air jacket,,,You took the risk and you got the air jacket and save yourself.,,0,1,0,0,1
31,Hanging in there,,,You lost lots of blood and get died,,0,1,0,0,0
32,Pull the spike yourself,17,31, You have to pull out yourself which has taken much of your energy.,Press 1. to go ahead or Press 2 to Hanging in there,0,0,0,0,1
33,Chased the stranger,18,35,"You also chased him by climbing the mountain and found that he's your father who was hiding there from Michaus all this time. He stitched your cut and gave you food, and you get your health back.",Press 1. to fight back against Michaus or Press 2 to live with your father and starve to the death,0,0,0,2,0
34,All alone in the forest,,,One man of Michaus put the wire onto your neck from behind and killed you.,,0,1,0,0,0
35,Starve to death,,,"Due to the inspection regularly by the men of Michaus all over the island, eventually force you to stay in the cave with your father and get starved to death.",,0,1,0,0,1
36,Get killed,,,He shot you down and your father.,,0,1,0,0,0
37,Be there for your father,,,You both get infected and got rotten ,,0,1,0,0,0
38,Red,,,You fall down along the floor and died,,0,1,0,0,0
39,Oppose to go down first,,,Get yourself killed and your father,,0,1,0,0,0
40,selling amulet,6,2,You sold amulet for 10000,Press 1. to go on adventurous trip or press 2 to go back home,0,0,0,0,0
